Body_Mass	Max_Longevity	Species
6.872128101338986	5.715711045521475	Callicebus moloch
6.324358962381311	5.36970736263471	Callimico goeldii
5.910796644040527	5.306285536197214	Callithrix argentata
5.926926025970411	5.19295685089021	Callithrix humeralifera
5.673323267171493	5.306285536197214	Callithrix jacchus
4.8283137373023015	5.199601393608879	Callithrix pygmaea
10.927735425915376	6.040254711277414	Callorhinus ursinus
5.579729825986222	4.736198448394496	Callosciurus caniceps
5.645446897643238	5.263725921778417	Callosciurus erythraeus
5.3471075307174685	4.746669748261791	Callosciurus notatus
5.991464547107982	4.219507705176107	Callosciurus prevostii
6.836259277277067	5.049856007249537	Caloprymnus campestris
5.799092654460526	4.0943445622221	Caluromys derbianus
5.863631175598097	4.0943445622221	Caluromys lanatus
5.5053315359323625	4.330733340286331	Caluromys philander
